,PriceUpdateDate,ItemCode,ItemType,ItemNm,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,Location
0,2022-02-28 13:15:00,24001,1,גבינה ברי לאיתא במשקל,לא ידוע,לא ידוע,גבינה ברי לאיתא במשקל,"ק""ג",1,"ק""ג  ",1,1.0000,179,179.0000,1,1,16 עכו
1,2022-02-28 13:15:00,46662,1,גבינה סקנדינבית  תנובה,לא ידוע,לא ידוע,גבינה סקנדינבית  תנובה,"ק""ג",1,"ק""ג  ",1,0.0000,79,79.0000,0,1,16 עכו
2,2022-02-28 13:15:00,79290,1,נעם גבינה צהובה 15% טרה,לא ידוע,לא ידוע,נעם גבינה צהובה 15% טרה,"ק""ג",1,"ק""ג  ",1,4.0000,75,75.0000,0,1,16 עכו
3,2022-02-28 13:54:00,126650,1,גבינה צפתית 5% במשקל,לא ידוע,לא ידוע,גבינה צפתית 5% במשקל,"ק""ג",1,"ק""ג  ",1,0.0000,60,60.0000,0,1,16 עכו
4,2022-02-28 13:15:00,175777,1,גבינה איברוקו וילי פוד,לא ידוע,לא ידוע,גבינה איברוקו וילי פוד,"ק""ג",1,"ק""ג  ",1,0.0000,109,109.0000,1,1,16 עכו
5,2022-02-28 13:15:00,189380,1,גבינה שום שמיר 26% כפיר,לא ידוע,לא ידוע,גבינה שום שמיר 26% כפיר,"ק""ג",1,"ק""ג  ",1,0.0000,36.9,36.9000,1,1,16 עכו
6,2022-02-28 13:09:00,193074,1,גבינה מגורדת לממתקים במשקל,לא ידוע,לא ידוע,גבינה מגורדת לממתקים במשקל,"ק""ג",1,"ק""ג  ",1,0.0000,55,55.0000,0,1,16 עכו
7,2022-02-28 13:15:00,193364,1,גבינה חלומי במשקל,לא ידוע,לא ידוע,גבינה חלומי במשקל,"ק""ג",1,"ק""ג  ",1,0.0000,89,89.0000,0,1,16 עכו
8,2022-02-28 13:15:00,331599,1,גבינה גודה עגול,לא ידוע,לא ידוע,גבינה גודה עגול,"ק""ג",1,"ק""ג  ",1,0.0000,75,75.0000,0,1,16 עכו
9,2022-02-28 13:15:00,384899,1,גבינה פטינה שקיל,לא ידוע,לא ידוע,גבינה פטינה שקיל,"ק""ג",1,"ק""ג  ",1,0.0000,39,39.0000,0,1,16 עכו
10,2022-02-28 13:54:00,395408,1,נעם גוש גבינה חצי קשה 28% טרה,לא ידוע,לא ידוע,נעם גוש גבינה חצי קשה 28% טרה,"ק""ג",1,"ק""ג  ",1,5.0000,42.7,42.7000,1,1,16 עכו
11,2022-02-28 13:15:00,395415,1,נעם גוש גבינה חצי קשה 9% טרה,לא ידוע,לא ידוע,נעם גוש גבינה חצי קשה 9% טרה,"ק""ג",1,"ק""ג  ",1,5.0000,85,85.0000,0,1,16 עכו
12,2022-02-28 13:15:00,395422,1,נעם גוש גבינה חצי קשה 22% טרה,לא ידוע,לא ידוע,נעם גוש גבינה חצי קשה 22% טרה,"ק""ג",1,"ק""ג  ",1,4.0000,39.9,39.9000,0,1,16 עכו
13,2022-02-28 13:15:00,511243,1,גבינה בולגרית מעודנת 16 % שקיל,לא ידוע,לא ידוע,גבינה בולגרית מעודנת 16 % שקיל,"ק""ג",1,"ק""ג  ",1,0.0000,52,52.0000,0,1,16 עכו
14,2022-02-28 13:54:00,554921,1,גבינה ריקוטה 5% במשקל,לא ידוע,לא ידוע,גבינה ריקוטה 5% במשקל,"ק""ג",1,"ק""ג  ",1,0.0000,59,59.0000,1,1,16 עכו
15,2022-02-28 13:15:00,603894,1,גבינה גודה עזים פריקו,לא ידוע,לא ידוע,גבינה גודה עזים פריקו,"ק""ג",1,"ק""ג  ",1,0.0000,120,120.0000,0,1,16 עכו
16,2022-02-28 13:15:00,616245,1,גבינה מסדאם הולנדית,לא ידוע,לא ידוע,גבינה מסדאם הולנדית,"ק""ג",1,"ק""ג  ",1,1.0000,70,70.0000,1,1,16 עכו
17,2022-02-28 13:15:00,861025,1,גבינה בולגרית מלוחה 5% שקיל,לא ידוע,לא ידוע,גבינה בולגרית מלוחה 5% שקיל,"ק""ג",1,"ק""ג  ",1,1.0000,52,52.0000,0,1,16 עכו
18,2022-02-28 13:15:00,76840400218,1,גלידת עוגת גבינה עם תות בן וג'ירי 420 ג',לא ידוע,לא ידוע,גלידת עוגת גבינה עם תות בן וג'ירי 420 ג',יחידה,1,יחידה,0,0.0000,19.9,19.9000,1,1,16 עכו
19,2022-02-28 13:09:00,3073780538442,1,גבינה לואש קירי ממרח 200 ג',לא ידוע,לא ידוע,גבינה לואש קירי ממרח 200 ג',יחידה,1,יחידה,0,0.0000,19.9,19.9000,0,1,16 עכו
20,2022-02-28 13:15:00,3073780574310,1,גבינה לואש קירי 24 יח',לא ידוע,לא ידוע,גבינה לואש קירי 24 יח',יחידה,1,יחידה,0,0.0000,29.9,29.9000,0,1,16 עכו
21,2022-02-28 13:15:00,3073780591591,1,גבינה לואש קירי 12 יח' 192 ג',לא ידוע,לא ידוע,גבינה לואש קירי 12 יח' 192 ג',יחידה,1,יחידה,0,0.0000,15.9,15.9000,0,1,16 עכו
22,2022-02-28 13:15:00,3073780593083,1,גבינה לואש קירי 32 יח' 480 ג',לא ידוע,לא ידוע,גבינה לואש קירי 32 יח' 480 ג',יחידה,1,יחידה,0,0.0000,37.9,37.9000,0,1,16 עכו
23,2022-02-28 13:09:00,3073780894326,1,גבינה קירי 12 יח' 200 ג',לא ידוע,לא ידוע,גבינה קירי 12 יח' 200 ג',יחידה,1,יחידה,0,0.0000,22.9,22.9000,0,1,16 עכו
24,2022-02-28 13:09:00,3073781108910,1,גבינה אבו אלואלד צנצנת 500ג',לא ידוע,לא ידוע,גבינה אבו אלואלד צנצנת 500ג',יחידה,1,יחידה,0,0.0000,24.9,24.9000,0,1,16 עכו
25,2022-02-28 13:09:00,3073781108927,1,גבינה אבו אלואלד צנצנת 900ג',לא ידוע,לא ידוע,גבינה אבו אלואלד צנצנת 900ג',יחידה,1,יחידה,0,0.0000,39.9,39.9000,0,1,16 עכו
26,2022-02-28 13:15:00,3073781122572,1,גבינה לואש קירי בכוס 140 ג',לא ידוע,לא ידוע,גבינה לואש קירי בכוס 140 ג',יחידה,1,יחידה,0,12.0000,10.9,10.9000,0,1,16 עכו
27,2022-02-28 13:09:00,4008239288219,1,חטיף חתולים גבינה ויטקראפט  40 ג',לא ידוע,לא ידוע,חטיף חתולים גבינה ויטקראפט  40 ג',יחידה,1,יחידה,0,0.0000,15.9,15.9000,0,1,16 עכו
28,2022-02-28 13:10:00,5202390015618,1,גבינה צהובה טבעונית אורגינל ויאו לייף 200 ג',לא ידוע,לא ידוע,גבינה צהובה טבעונית אורגינל ויאו לייף 200 ג',יחידה,1,יחידה,0,12.0000,21.9,21.9000,0,1,16 עכו
